2024-11-16T04:24:03.221077Z [info     ] Marked stale run that started at 2024-11-16 04:18:40.001353+00:00 as failed: No heartbeat recorded for 5 minutes. The process was likely killed unceremoniously.
2024-11-16T04:24:03.935377Z [info     ] 2024-11-16 04:24:03,935 | INFO     | tap-postgres.pipeline_benchmark-customer | Beginning full_table sync of 'pipeline_benchmark-customer'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-bigquery name=tap-postgres producer=True run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=tap-postgres
2024-11-16T04:24:03.935753Z [info     ] 2024-11-16 04:24:03,935 | INFO     | tap-postgres.pipeline_benchmark-customer | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-bigquery name=tap-postgres producer=True run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=tap-postgres
2024-11-16T04:24:04.013758Z [info     ] 2024-11-16 04:24:04,013 | INFO     | target-bigquery      | Using thread-based parallelism cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:04.014079Z [info     ] 2024-11-16 04:24:04,013 | INFO     | target-bigquery      | Target 'target-bigquery' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:04.014212Z [info     ] 2024-11-16 04:24:04,013 | INFO     | target-bigquery      | Initializing 'target-bigquery' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:04.014325Z [info     ] 2024-11-16 04:24:04,013 | INFO     | target-bigquery      | Initializing target sink for stream 'pipeline_benchmark-customer'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:04.890607Z [info     ] /home/amanguptanalytics/meltano/my_project2/my-meltano-project/.meltano/loaders/target-bigquery/venv/lib/python3.11/site-packages/target_bigquery/proto_gen.py:97: UserWarning: MessageFactory class is deprecated. Please use GetMessageClass() instead of MessageFactory.GetPrototype. MessageFactory class will be removed after 2024. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:04.890874Z [info     ]   proto_cls = factory.GetPrototype(proto_descriptor) cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:04.891062Z [info     ] 2024-11-16 04:24:04,890 | INFO     | target-bigquery      | Setting up pipeline_benchmark-customer cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:18.245457Z [info     ] 2024-11-16 04:24:18,245 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:18.246048Z [info     ] 2024-11-16 04:24:18,245 | INFO     | target-bigquery      | Adding worker 8fe3a374476840d3aa9da422bfc4d2c5 cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:23.898976Z [info     ] 2024-11-16 04:24:23,898 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:23.899356Z [info     ] 2024-11-16 04:24:23,898 | INFO     | target-bigquery      | [8fe3a374476840d3aa9da422bfc4d2c5] Sent 15000 rows to projects/dlthub-sandbox/datasets/test_meltano3/tables/pipeline_benchmark_customer/streams/_default with offset 0. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
2024-11-16T04:24:29.514573Z [info     ] 2024-11-16 04:24:29,514 | INFO     | target-bigquery      | Target sink for 'pipeline_benchmark-customer' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-bigquery name=target-bigquery producer=False run_id=98c0eb60-c79a-4670-a651-641bbc11c49c stdio=stderr string_id=target-bigquery
